source_id,job_type,outcome,input_execution_mode,input_job_status,blocked_reasons,job_id,runtime_mode,dry_run_worker_available,background_worker_available,production_worker_live,collectors_executed,urls_fetched,raw_payloads_written,source_monitoring_live,live_source_coverage
grants_gov_search2_fetch,source_check,blocked_dry_run,dry_run,blocked,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,0040f8fe3f23013acb2c030bfe63cf0cfd772613f3e0a9f0fb94459410435455,dry_run_in_process,True,False,False,False,False,False,False,False
usaspending_api_v2,source_check,blocked_dry_run,dry_run,blocked,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,674d60b3106d2eb0a4dcb461845a400c393b1b491d4bafff8861376275292403,dry_run_in_process,True,False,False,False,False,False,False,False
sam_assistance_listings_api,source_check,blocked_dry_run,dry_run,blocked,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,996cb1d4d9adadce6ddd6dff8afda5285c37751f7341a6addaedaa394126f737,dry_run_in_process,True,False,False,False,False,False,False,False
federal_register_api,source_check,blocked_dry_run,dry_run,blocked,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,b235c90098d3e8f60c5b02114bec7f1be4aa62829f7b5143b4604700f446958e,dry_run_in_process,True,False,False,False,False,False,False,False
grants_gov_daily_extract,source_check,blocked_dry_run,dry_run,blocked,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,ee9871cbc4314fdf9e10eb7ef1e8443bce293793794767ff4777c12ee69ed6f3,dry_run_in_process,True,False,False,False,False,False,False,False
