source_id,job_type,job_status,execution_mode,scheduled_for,attempt_number,activation_status,schedule_decision_status,circuit_status,raw_payload_store_status,blocked_reasons,idempotency_key,runtime_mode,dry_run_only,live_jobs_created,collectors_executed,live_fetch_performed,raw_payloads_written,source_monitoring_live,live_source_coverage
sam_assistance_listings_api,source_check,blocked,dry_run,2026-01-01T06:00:00+00:00,1,activation_blocked,unknown,unknown,unavailable,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,0dfb5f530d1f15853c6f0324200640a2cb8ef8ebbd8a35e5c234ef6c4f0c7575,dry_run_in_process,True,0,False,False,False,False,False
federal_register_api,source_check,blocked,dry_run,2026-01-01T06:00:00+00:00,1,activation_blocked,unknown,unknown,unavailable,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,5df6ff795911997e8a722e5176ecf7276d12a2e8f94eedef692aa00a2d9bd130,dry_run_in_process,True,0,False,False,False,False,False
usaspending_api_v2,source_check,blocked,dry_run,2026-01-01T06:00:00+00:00,1,activation_blocked,unknown,unknown,unavailable,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,693889299aed60c8b4d5cf3218e2f8aeaea8ea21ef03126fcd9aa40a3573977c,dry_run_in_process,True,0,False,False,False,False,False
grants_gov_search2_fetch,source_check,blocked,dry_run,2026-01-01T06:00:00+00:00,1,activation_blocked,unknown,unknown,unavailable,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,6c8b69d0526cf94ec6dda93815d255fc41e970e515f0e0039b70c1bed659bea4,dry_run_in_process,True,0,False,False,False,False,False
grants_gov_daily_extract,source_check,blocked,dry_run,2026-01-01T06:00:00+00:00,1,activation_blocked,unknown,unknown,unavailable,activation_not_allowed:activation_blocked; circuit_does_not_permit:unknown; production_payload_store_unavailable:unavailable; schedule_does_not_permit_enqueue:unknown,de515c03d046249d33748ec514de63ed4dcdc70ad29e8bd33c9951b99a950aa0,dry_run_in_process,True,0,False,False,False,False,False
