setting,env_var,required,value_present,is_secret,body_store_implementation_available,body_store_configured,production_raw_payload_store_available,production_storage_live,live_fetch_performed,collectors_active,source_monitoring_active,live_source_coverage
raw_payload_object_store_endpoint,RAW_PAYLOAD_OBJECT_STORE_ENDPOINT,True,False,False,True,False,False,False,False,False,False,False
raw_payload_object_store_bucket,RAW_PAYLOAD_OBJECT_STORE_BUCKET,True,False,False,True,False,False,False,False,False,False,False
raw_payload_object_store_region,RAW_PAYLOAD_OBJECT_STORE_REGION,True,False,False,True,False,False,False,False,False,False,False
raw_payload_object_store_access_key_id,RAW_PAYLOAD_OBJECT_STORE_ACCESS_KEY_ID,True,False,False,True,False,False,False,False,False,False,False
raw_payload_object_store_secret_access_key,RAW_PAYLOAD_OBJECT_STORE_SECRET_ACCESS_KEY,True,False,True,True,False,False,False,False,False,False,False
raw_payload_object_store_force_path_style,RAW_PAYLOAD_OBJECT_STORE_FORCE_PATH_STYLE,False,False,False,True,False,False,False,False,False,False,False
